Qoil,Qwater,Qgas,BHP,WHP,WHT,Tsep,Psep,Choke_in
2964.50,4446.70,7.41,4257.86,853.65,176.54,129.90,400.00,2.50
1586.20,6344.90,3.97,4476.27,719.81,181.32,137.92,400.00,2.50
6279.50,0.00,15.70,4220.90,1138.29,159.39,105.01,500.00,2.50
5129.70,1282.40,12.82,4116.71,1051.89,164.43,111.72,500.00,2.50
4087.30,2724.90,10.22,4161.20,983.93,170.46,120.38,500.00,2.50
2921.00,4381.50,7.30,4278.66,901.17,176.00,129.03,500.00,2.50
1547.30,6189.20,3.87,4504.57,777.08,180.54,136.57,500.00,2.50
6218.00,0.00,15.55,4236.32,1176.81,158.97,104.47,600.00,2.50
5068.50,1267.10,12.67,4136.58,1094.92,163.93,111.04,600.00,2.50
4029.80,2686.50,10.07,4183.73,1031.99,169.96,119.61,600.00,2.50
2866.80,4300.20,7.17,4304.60,954.92,175.32,127.95,600.00,2.50
1503.30,6013.10,3.76,4536.55,840.81,179.64,135.03,600.00,2.50
873.00,0.00,2.62,5419.28,3286.36,82.64,60.15,100.00,0.25
746.20,186.60,2.24,5395.51,3131.87,86.16,60.48,100.00,0.25
599.70,399.80,1.80,5396.14,2939.72,90.06,61.01,100.00,0.25
430.10,645.10,1.29,5408.18,2653.88,94.37,61.80,100.00,0.25
233.20,933.00,0.70,5434.08,2179.98,99.31,62.96,100.00,0.25
873.00,0.00,2.62,5419.28,3286.36,82.64,60.15,200.00,0.25
746.20,186.60,2.24,5395.51,3131.87,86.16,60.48,200.00,0.25
599.70,399.80,1.80,5396.14,2939.72,90.06,61.01,200.00,0.25
430.10,645.10,1.29,5408.18,2653.88,94.37,61.80,200.00,0.25
233.20,933.00,0.70,5434.08,2179.98,99.31,62.96,200.00,0.25
873.00,0.00,2.62,5419.28,3286.36,82.64,60.15,300.00,0.25
746.20,186.60,2.24,5395.51,3131.87,86.16,60.48,300.00,0.25
599.70,399.80,1.80,5396.14,2939.72,90.06,61.01,300.00,0.25
430.10,645.10,1.29,5408.18,2653.88,94.37,61.80,300.00,0.25
233.20,933.00,0.70,5434.08,2179.98,99.31,62.96,300.00,0.25
873.00,0.00,2.62,5419.28,3286.36,82.64,60.15,400.00,0.25
746.20,186.60,2.24,5395.51,3131.87,86.16,60.48,400.00,0.25
599.70,399.80,1.80,5396.14,2939.72,90.06,61.01,400.00,0.25
430.10,645.10,1.29,5408.18,2653.88,94.37,61.80,400.00,0.25
233.20,933.00,0.70,5434.08,2179.98,99.31,62.96,400.00,0.25
873.00,0.00,2.62,5419.28,3286.36,82.64,60.15,500.00,0.25
746.20,186.60,2.24,5395.51,3131.87,86.16,60.48,500.00,0.25
599.70,399.80,1.80,5396.14,2939.72,90.06,61.01,500.00,0.25
430.10,645.10,1.29,5408.18,2653.88,94.37,61.80,500.00,0.25
233.20,933.00,0.70,5434.08,2179.98,99.31,62.96,500.00,0.25
873.00,0.00,2.62,5419.28,3286.36,82.64,60.15,600.00,0.25
746.20,186.60,2.24,5395.51,3131.87,86.16,60.48,600.00,0.25
599.70,399.80,1.80,5396.14,2939.72,90.06,61.01,600.00,0.25
